match_id,matchday,stage,date,time_uk,home_team,away_team,group
1,1,Group Stage,2026-06-11,,Mexico,South Africa,A
2,1,Group Stage,2026-06-11,,Korea Republic,Czechia,A
3,1,Group Stage,2026-06-12,,Canada,Bosnia and Herzegovina,B
4,1,Group Stage,2026-06-12,,USA,Paraguay,D
5,1,Group Stage,2026-06-13,,Qatar,Switzerland,B
6,1,Group Stage,2026-06-13,,Brazil,Morocco,C
7,1,Group Stage,2026-06-13,,Haiti,Scotland,C
8,1,Group Stage,2026-06-13,,Australia,Türkiye,D
9,1,Group Stage,2026-06-14,,Germany,Curaçao,E
10,1,Group Stage,2026-06-14,,Netherlands,Japan,F
11,1,Group Stage,2026-06-14,,Côte d'Ivoire,Ecuador,E
12,1,Group Stage,2026-06-14,,Sweden,Tunisia,F
13,1,Group Stage,2026-06-15,,Spain,Cabo Verde,H
14,1,Group Stage,2026-06-15,,Belgium,Egypt,G
15,1,Group Stage,2026-06-15,,Saudi Arabia,Uruguay,H
16,1,Group Stage,2026-06-15,,IR Iran,New Zealand,G
17,1,Group Stage,2026-06-16,,France,Senegal,I
18,1,Group Stage,2026-06-16,,Iraq,Norway,I
19,1,Group Stage,2026-06-16,,Argentina,Algeria,J
20,1,Group Stage,2026-06-16,,Austria,Jordan,J
21,1,Group Stage,2026-06-17,,Portugal,Congo DR,K
22,1,Group Stage,2026-06-17,,England,Croatia,L
23,1,Group Stage,2026-06-17,,Ghana,Panama,L
24,1,Group Stage,2026-06-17,,Uzbekistan,Colombia,K
25,2,Group Stage,2026-06-18,,Czechia,South Africa,A
26,2,Group Stage,2026-06-18,,Switzerland,Bosnia and Herzegovina,B
27,2,Group Stage,2026-06-18,,Canada,Qatar,B
28,2,Group Stage,2026-06-18,,Mexico,Korea Republic,A
29,2,Group Stage,2026-06-19,,USA,Australia,D
30,2,Group Stage,2026-06-19,,Scotland,Morocco,C
31,2,Group Stage,2026-06-19,,Brazil,Haiti,C
32,2,Group Stage,2026-06-19,,Türkiye,Paraguay,D
33,2,Group Stage,2026-06-20,,Netherlands,Sweden,F
34,2,Group Stage,2026-06-20,,Germany,Côte d'Ivoire,E
