Team,Group,FIFA Ranking
Mexico,Group A,15
South Africa,Group A,60
Korea Republic,Group A,25
Czechia,Group A,41
Canada,Group B,30
Bosnia and Herzegovina,Group B,65
Qatar,Group B,55
Switzerland,Group B,19
Brazil,Group C,6
Morocco,Group C,8
Haiti,Group C,83
Scotland,Group C,43
USA,Group D,16
Paraguay,Group D,40
Australia,Group D,27
Türkiye,Group D,22
Germany,Group E,10
Curaçao,Group E,82
Côte d'Ivoire,Group E,34
Ecuador,Group E,23
Netherlands,Group F,7
Japan,Group F,18
Sweden,Group F,38
Tunisia,Group F,44
Belgium,Group G,9
Egypt,Group G,29
IR Iran,Group G,21
New Zealand,Group G,85
Spain,Group H,2
Cabo Verde,Group H,69
Saudi Arabia,Group H,61
Uruguay,Group H,17
France,Group I,1
Senegal,Group I,14
Iraq,Group I,57
Norway,Group I,31
Argentina,Group J,3
Algeria,Group J,28
Austria,Group J,24
Jordan,Group J,63
Portugal,Group K,5
Congo DR,Group K,46
Uzbekistan,Group K,50
Colombia,Group K,13
England,Group L,4
Croatia,Group L,11
Ghana,Group L,74
Panama,Group L,33
