Team,Player Name,Position,Formation
Mexico,Rangel,GK,4-3-3
Mexico,Reyes,RB,4-3-3
Mexico,Montes,CB,4-3-3
Mexico,Vasques,CB,4-3-3
Mexico,Gallardo,LB,4-3-3
Mexico,Figaldo,CM,4-3-3
Mexico,Lira,CM,4-3-3
Mexico,Mora,CM,4-3-3
Mexico,Alvarado,RW,4-3-3
Mexico,Jimenez,ST,4-3-3
Mexico,Gimenez,LW,4-3-3
South Africa,Williams,GK,4-3-3
South Africa,Modiba,RB,4-3-3
South Africa,Mbokazi,CB,4-3-3
South Africa,Sibisi,CB,4-3-3
South Africa,Mudau,LB,4-3-3
South Africa,Mbatha,CM,4-3-3
South Africa,Sithole,CM,4-3-3
South Africa,Mokoena,CM,4-3-3
South Africa,Appolis,RW,4-3-3
South Africa,Foster,ST,4-3-3
South Africa,Mofokeng,LW,4-3-3
South Korea,Seung-Gyu,GK,4-3-3
South Korea,Young-woo,RB,4-3-3
South Korea,Min-Jae,CB,4-3-3
South Korea,Tae-Hyeon,CB,4-3-3
South Korea,Tae-Seok,LB,4-3-3
South Korea,Jin-Gyu,CM,4-3-3
South Korea,Han-Beom,CM,4-3-3
South Korea,In-Beom,CM,4-3-3
South Korea,Kang-in,RW,4-3-3
South Korea,Son,ST,4-3-3
South Korea,Hwang,LW,4-3-3
Czechia,Kovar,GK,3-4-3
Czechia,Holes,CB,3-4-3
Czechia,Hranac,CB,3-4-3
Czechia,Krejci,CB,3-4-3
Czechia,Coufal,RWB,3-4-3
Czechia,Darida,CM,3-4-3
Czechia,Soucek,CM,3-4-3
Czechia,Zeleny,LWB,3-4-3
Czechia,Sulc,RW,3-4-3
Czechia,Schick,ST,3-4-3
Czechia,Provod,LW,3-4-3
Canada,Crepeau,GK,4-4-2
Canada,Johnston,RB,4-4-2
Canada,Luc De Fougerolles,CB,4-4-2
Canada,Cornelius,CB,4-4-2
Canada,Laryea,LB,4-4-2
Canada,Buchanan,RM,4-4-2
Canada,Estaquio,CM,4-4-2
Canada,Kone,CM,4-4-2
Canada,Millar,LM,4-4-2
Canada,David,ST,4-4-2
Canada,Larin,ST,4-4-2
Bosnia and Herzegovina,Vasilj,GK,4-4-2
Bosnia and Herzegovina,Dedic,RB,4-4-2
Bosnia and Herzegovina,Katic,CB,4-4-2
Bosnia and Herzegovina,Murharemovic,CB,4-4-2
Bosnia and Herzegovina,Kolasinac,LB,4-4-2
Bosnia and Herzegovina,Bajraketevic,RM,4-4-2
Bosnia and Herzegovina,Basic,CM,4-4-2
Bosnia and Herzegovina,Tahirovic,CM,4-4-2
Bosnia and Herzegovina,Memic,LM,4-4-2
Bosnia and Herzegovina,Demirovic,ST,4-4-2
Bosnia and Herzegovina,Dzeko,ST,4-4-2
Qatar,Barsham,GK,4-2-3-1
Qatar,Al Oui,RB,4-2-3-1
Qatar,Khouki,CB,4-2-3-1
Qatar,Mendes,CB,4-2-3-1
Qatar,Al-Brake,LB,4-2-3-1
Qatar,Madibo,DM,4-2-3-1
Qatar,Boudiaf,DM,4-2-3-1
Qatar,Edmilson,RW,4-2-3-1
Qatar,Al-Mannai,AM,4-2-3-1
Qatar,Afif,LW,4-2-3-1
Qatar,Ali,ST,4-2-3-1
Switzerland,Kobel,GK,4-5-1
Switzerland,Widemar,RB,4-5-1
Switzerland,Elvedi,CB,4-5-1
Switzerland,Akanji,CB,4-5-1
Switzerland,Rodriguez,LB,4-5-1
Switzerland,Xhaka,CM,4-5-1
Switzerland,Freuler,CM,4-5-1
Switzerland,Vargas,RW,4-5-1
Switzerland,Rieder,AM,4-5-1
Switzerland,Ndoye,LW,4-5-1
Switzerland,Embolo,ST,4-5-1
Brazil,Alisson,GK,4-2-4
Brazil,Danilo,RB,4-2-4
Brazil,Marquinhos,CB,4-2-4
Brazil,Gabriel,CB,4-2-4
Brazil,Sandro,LB,4-2-4
Brazil,Casemiro,DM,4-2-4
Brazil,Bruno G,DM,4-2-4
Brazil,Raphina,RW,4-2-4
Brazil,Vinicius,LW,4-2-4
