match_id,date,home_team,away_team,home_score,away_score,goalscorers,assists
1,2026-06-11,Mexico,South Africa,2,0,,"Lira E. (9'), Alvarado R. (67')"
2,2026-06-11,Korea Republic,Czechia,2.0,1.0,"Krejci L. 59', Hwang In-Beom 67', Oh Hyeon-Gyu 80'","Coufal V. (59'), Lee Kang-In (67'), Hwang In-Beom (80')"
3,2026-06-12,Canada,Bosnia and Herzegovina,,,,
4,2026-06-12,USA,Paraguay,,,,
5,2026-06-13,Qatar,Switzerland,,,,
6,2026-06-13,Brazil,Morocco,,,,
7,2026-06-13,Haiti,Scotland,,,,
8,2026-06-13,Australia,Türkiye,,,,
9,2026-06-14,Germany,Curaçao,,,,
10,2026-06-14,Netherlands,Japan,,,,
11,2026-06-14,Côte d'Ivoire,Ecuador,,,,
12,2026-06-14,Sweden,Tunisia,,,,
13,2026-06-15,Spain,Cabo Verde,,,,
14,2026-06-15,Belgium,Egypt,,,,
15,2026-06-15,Saudi Arabia,Uruguay,,,,
16,2026-06-15,IR Iran,New Zealand,,,,
17,2026-06-16,France,Senegal,,,,
18,2026-06-16,Iraq,Norway,,,,
19,2026-06-16,Argentina,Algeria,,,,
20,2026-06-16,Austria,Jordan,,,,
21,2026-06-17,Portugal,Congo DR,,,,
22,2026-06-17,England,Croatia,,,,
23,2026-06-17,Ghana,Panama,,,,
24,2026-06-17,Uzbekistan,Colombia,,,,
25,2026-06-18,Czechia,South Africa,,,,
26,2026-06-18,Switzerland,Bosnia and Herzegovina,,,,
27,2026-06-18,Canada,Qatar,,,,
28,2026-06-18,Mexico,Korea Republic,,,,
29,2026-06-19,USA,Australia,,,,
30,2026-06-19,Scotland,Morocco,,,,
31,2026-06-19,Brazil,Haiti,,,,
32,2026-06-19,Türkiye,Paraguay,,,,
33,2026-06-20,Netherlands,Sweden,,,,
34,2026-06-20,Germany,Côte d'Ivoire,,,,
35,2026-06-20,Ecuador,Curaçao,,,,
36,2026-06-20,Tunisia,Japan,,,,
37,2026-06-21,Spain,Saudi Arabia,,,,
38,2026-06-21,Belgium,IR Iran,,,,
39,2026-06-21,Uruguay,Cabo Verde,,,,
40,2026-06-21,New Zealand,Egypt,,,,
41,2026-06-22,Argentina,Austria,,,,
42,2026-06-22,France,Iraq,,,,
43,2026-06-22,Norway,Senegal,,,,
44,2026-06-22,Jordan,Algeria,,,,
45,2026-06-23,Portugal,Uzbekistan,,,,
46,2026-06-23,England,Ghana,,,,
47,2026-06-23,Panama,Croatia,,,,
48,2026-06-23,Colombia,Congo DR,,,,
49,2026-06-24,South Africa,Korea Republic,,,,
50,2026-06-24,Czechia,Mexico,,,,
51,2026-06-24,Switzerland,Canada,,,,
52,2026-06-24,Bosnia and Herzegovina,Qatar,,,,
53,2026-06-24,Morocco,Haiti,,,,
54,2026-06-24,Scotland,Brazil,,,,
55,2026-06-25,Curaçao,Côte d'Ivoire,,,,
56,2026-06-25,Ecuador,Germany,,,,
57,2026-06-25,Tunisia,Netherlands,,,,
58,2026-06-25,Japan,Sweden,,,,
59,2026-06-25,Türkiye,USA,,,,
60,2026-06-25,Paraguay,Australia,,,,
61,2026-06-26,Norway,France,,,,
62,2026-06-26,Senegal,Iraq,,,,
63,2026-06-26,Cabo Verde,Saudi Arabia,,,,
64,2026-06-26,Uruguay,Spain,,,,
65,2026-06-26,New Zealand,Belgium,,,,
66,2026-06-26,Egypt,IR Iran,,,,
67,2026-06-27,Algeria,Austria,,,,
68,2026-06-27,Jordan,Argentina,,,,
69,2026-06-27,Colombia,Portugal,,,,
70,2026-06-27,Congo DR,Uzbekistan,,,,
71,2026-06-27,Panama,England,,,,
72,2026-06-27,Croatia,Ghana,,,,
73,2026-06-28,2nd Group A,2nd Group B,,,,
74,2026-06-29,1st Group C,2nd Group F,,,,
75,2026-06-29,1st Group E,Best 3rd (A/B/C/D/F),,,,
76,2026-06-29,1st Group F,2nd Group C,,,,
77,2026-06-30,2nd Group E,2nd Group I,,,,
78,2026-06-30,1st Group I,Best 3rd (C/D/F/G/H),,,,
79,2026-06-30,1st Group A,Best 3rd (C/E/F/H/I),,,,
80,2026-07-01,1st Group L,Best 3rd (E/H/I/J/K),,,,
81,2026-07-01,1st Group G,Best 3rd (A/E/H/I/J),,,,
82,2026-07-01,1st Group D,Best 3rd (B/E/F/I/J),,,,
83,2026-07-02,1st Group H,2nd Group J,,,,
84,2026-07-02,2nd Group K,2nd Group L,,,,
85,2026-07-02,1st Group B,Best 3rd (E/F/G/I/J),,,,
86,2026-07-03,2nd Group D,2nd Group G,,,,
87,2026-07-03,1st Group J,2nd Group H,,,,
88,2026-07-03,1st Group K,Best 3rd (D/E/I/J/L),,,,
89,2026-07-04,Winner 73,Winner 76,,,,
90,2026-07-04,Winner 75,Winner 78,,,,
91,2026-07-05,Winner 74,Winner 77,,,,
92,2026-07-05,Winner 79,Winner 80,,,,
93,2026-07-06,Winner 83,Winner 84,,,,
94,2026-07-06,Winner 81,Winner 82,,,,
95,2026-07-07,Winner 86,Winner 87,,,,
96,2026-07-07,Winner 85,Winner 88,,,,
97,2026-07-09,Winner 89,Winner 90,,,,
98,2026-07-10,Winner 93,Winner 94,,,,
99,2026-07-11,Winner 91,Winner 92,,,,
100,2026-07-11,Winner 95,Winner 96,,,,
101,2026-07-14,Winner 97,Winner 98,,,,
102,2026-07-15,Winner 99,Winner 100,,,,
103,2026-07-18,Loser 101,Loser 102,,,,
104,2026-07-19,Winner 101,Winner 102,,,,
